Mann, der, 👨
Frau, die, 👩
Kind, das, 🧒
Haus, das, 🏠
Auto, das, 🚗
Baum, der, 🌳
Blume, die, 🌸
Hund, der, 🐕
Katze, die, 🐈
Pferd, das, 🐎
Vogel, der, 🐦
Fisch, der, 🐟
Apfel, der, 🍎
Banane, die, 🍌
Brot, das, 🍞
Milch, die, 🥛
Wasser, das, 💧
Sonne, die, ☀️
Mond, der, 🌙
Stern, der, ⭐
Schule, die, 🏫
Buch, das, 📖
Stift, der, ✏️
Tisch, der, 🪑
Stuhl, der, 🪑
Tür, die, 🚪
Fenster, das, 🪟
Bett, das, 🛏️
Ball, der, ⚽
Spiel, das, 🎲
Hand, die, ✋
Fuß, der, 🦶
Kopf, der, 🙂
Auge, das, 👁️
Nase, die, 👃
Mund, der, 👄
Ohr, das, 👂
Tag, der, 📅
Nacht, die, 🌃
Woche, die, 🗓️
Jahr, das, 🗓️
Zeit, die, ⏰
Freund, der, 😊
Freundin, die, 😊
Mädchen, das, 👧
Junge, der, 👦
Mutter, die, 👩
Vater, der, 👨
Essen, das, 🍽️
Jacke, die, 🧥
Arm, der, 💪
Arzt, der, 👨‍⚕️
Ärztin, die, 👩‍⚕️
Aufgabe, die, 📝
Ausflug, der, 🚌
Bein, das, 🦵
Beispiel, das, 💡
Blut, das, 🩸
Brief, der, ✉️
Butter, die, 🧈
Christbaum, der, 🎄
Dorf, das, 🏘️
Einladung, die, 💌
Essen, das, 🍽️
Fahrt, die, 🚗
Fahrverbot, das, 🚫
Familie, die, 👨‍👩‍👧‍👦
Fenster, das, 🪟
Fernseher, der, 📺
Feuer, das, 🔥
Flasche, die, 🍼
Frage, die, ❓
Garten, der, 🌳
Geburtstag, der, 🎂
Gemüse, das, 🥕
Geschenk, das, 🎁
Gesundheit, die, ❤️
Gewitter, das, ⛈️
Gitarre, die, 🎸
Glück, das, 🍀
Haare, die, 💇
Handy, das, 📱
Hexe, die, 🧙‍♀️
Hilfe, die, 🆘
Holz, das, 🪵
Idee, die, 💡
Jause, die, 🥪
Krankheit, die, 🤒
Land, das, 🌍
Leute, die, 👥
Licht, das, 💡
Lied, das, 🎵
Loch, das, 🕳️
Meer, das, 🌊
Mensch, der, 🧍
Meter, der, 📏
Minute, die, ⏱️
Mitte, die, 🎯
Mond, der, 🌙
Nest, das, 🪺
Nummer, die, 🔢
Ort, der, 📍
Paket, das, 📦
Papier, das, 📄
Park, der, 🏞️
Pause, die, ⏸️
Plan, der, 🗺️
Preis, der, 💶
Radio, das, 📻
Rettung, die, 🚑
Rücken, der, 🔙
Sache, die, 🧸
Schere, die, ✂️
Schloss, das, 🏰
Schnitzel, das, 🍽️
Schnupfen, der, 🤧
Schokolade, die, 🍫
Sessel, der, 🪑
Sieger, der, 🏆
Spiel, das, 🎲
Spielsachen, die, 🧸
Sport, der, 🏅
Stadt, die, 🏙️
Stück, das, 🧩
Supermarkt, der, 🛒
Tankstelle, die, ⛽
Telefon, das, ☎️
Tier, das, 🐾
Torte, die, 🎂
Unfall, der, 🚑
Urlaub, der, 🏖️
Verkehr, der, 🚦
Video, das, 🎥
Weg, der, 🛤️
Wiese, die, 🌾
Witz, der, 😂
Wohnung, die, 🏠
Zimmer, das, 🛏️
Zucker, der, 🍚
Zuckerl, das, 🍬
Zug, der, 🚆
Abenteuer, das, 🧭
Abfall, der, 🗑️
Abfallkorb, der, 🗑️
Adler, der, 🦅
Advent, der, 🕯️
Adventfeier, die, 🕯️
Affe, der, 🐒
Angst, die, 😨
Apfel, der, 🍎
April, der, 🗓️
Arbeit, die, 💼
Arm, der, 💪
Artist, der, 🤹
Arzt, der, 👨‍⚕️
Ärztin, die, 👩‍⚕️
Arztzimmer, das, 🏥
Ast, der, 🌿
Aufgabe, die, 📝
Abend, der, 🌆
August, der, 🗓️
Ausflug, der, 🚌
Auto, das, 🚗
Autorennbahn, die, 🏎️
Baby, das, 👶
Bach, der, 💧
Badewanne, die, 🛁
Badezimmer, das, 🛁
Ball, der, ⚽
Banane, die, 🍌
Bank, die, 🏦
Bär, der, 🐻
Bauch, der, 🤰
Bauchweh, das, 🤕
Bauernhof, der, 🚜
Baum, der, 🌳
Baumhaus, das, 🏠
Bein, das, 🦵
